iteration,time ,active vertices,inactive
1,75.54,4631477,37020753
2,2.88,3214643,38437587
3,2.93,1850799,39801431
4,2.86,1567107,40085123
5,2.77,825457,40826773
6,2.71,482022,41170208
7,2.56,238450,41413780
8,2.69,107617,41544613
9,2.58,63586,41588644
10,2.62,45800,41606430
11,2.65,39837,41612393
12,2.67,38777,41613453
13,2.64,34223,41618007
14,2.85,34782,41617448
15,2.72,32457,41619773
16,2.58,33750,41618480
17,2.75,12923,41639307
18,2.59,7898,41644332
19,2.64,4517,41647713
20,2.82,2774,41649456
21,2.86,1694,41650536
22,2.97,1064,41651166
23,2.89,717,41651513
24,2.77,511,41651719
25,2.99,382,41651848
26,3.12,311,41651919
27,2.93,249,41651981
28,2.92,200,41652030
29,2.91,173,41652057
30,3.04,142,41652088
31,2.97,129,41652101
32,3.01,99,41652131
33,30.65,80,41652150
34,3.5,57,41652173
35,3.06,38,41652192
36,2.82,25,41652205
37,2.76,19,41652211
38,2.66,12,41652218
39,3.02,8,41652222
40,2.62,4,41652226
41,1.54,3,41652227
42,2.49,2,41652228
43,1.13,2,41652228
44,1.11,2,41652228
45,1.11,1,41652229
46,0.94,0,41652230
